db,action,id,old_plu,new_plu,old_name,new_name
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,inserted,price-list-4015,,4015,,APPLE PINK LADY SMALL KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,moved_conflict,p-lettuce,4061,500039605485950020,Iceberg Lettuce,
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,inserted,price-list-4061,,4061,,APPLE ROYAL GALA LGE KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f68fc092-a1c2-4833-a198-1717786eaaa3,4155,4155,AVOCADOES  SMALL EA,AVOCADOES SMALL EA
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,9f6a5df7-9e75-4a21-9747-c2b61e6dc347,4201,4201,BANANAS CAVENDISH  KG,BANANAS CAVENDISH KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,a2f4f0c7-73a3-4c1c-9e4c-bf807d128f25,8292,8292,BLOOD ORANGES  KG,BLOOD ORANGES KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,7bd23c19-e702-49ec-abde-35f128e3b7c2,9317948009233,9317948009233,BLUEBERRIES  125G,BLUEBERRIES 125G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,972a4a26-e692-4b11-8f5f-b6afc18f049a,9327403000101,9327403000101,BLUEBERRY FRESH  125G,BLUEBERRY FRESH 125G
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,6b16cc3c-9333-4ecc-853c-a7faee9c5342,4491,4491,GRAPE  WHITE SEEDLESS KG,GRAPE WHITE SEEDLESS KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,20be4cff-346a-456f-8fe5-f2aa70fdea93,4681,4681,IMPERIAL MANDARINS  KG,IMPERIAL MANDARINS KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,f1d97061-14f2-42f1-9fd6-32f624284164,3812,3812,JAZZ  APPLE  KG,JAZZ APPLE KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,5b250a00-623d-43d7-b467-ee052798bfe3,4621,4621,LEMONS FRESH  KG,LEMONS FRESH KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,ae18e675-c545-4e3e-a6da-9b2f06165ff3,4665,4665,MANDARINES MURCOT  KG,MANDARINES MURCOT KG
C:\Users\Matthias\Downloads\mcpos\db\crisp-pos.sqlite,updated,26d128bc-df65-4a87-96f5-d7031bb35317,5772,5772,KEITT  EA,KEITT EA
